state,week_start,weekly_cases,pop2019,LandArea,Percentage_over_65,infection_rate,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,population_density,government_response_index,containment_index,economic_support_index,stringency_index
Alabama,2020-01-26T00:00:00Z,0,5006199,50645,0.165,0,NA,NA,NA,98.84883009181559,6.324285714285714,7.228571428571429,0,1.9857142857142855
Alabama,2020-02-02T00:00:00Z,0,5006199,50645,0.165,0,NA,NA,NA,98.84883009181559,6.77,7.74,0,2.78
Alabama,2020-02-09T00:00:00Z,0,5006199,50645,0.165,0,5.155172413793103,49.57142857142857,5.761904761904762,98.84883009181559,9.005714285714285,10.290000000000001,0,6.744285714285715
Alabama,2020-02-16T00:00:00Z,0,5006199,50645,0.165,0,-1.0614250614250613,3.5700934579439254,4.104575163398692,98.84883009181559,9.9,11.31,0,8.33
Alabama,2020-02-23T00:00:00Z,0,5006199,50645,0.165,0,11.109181141439207,17.270833333333332,8.920529801324504,98.84883009181559,10.791428571428572,12.33,0,9.918571428571429
Alabama,2020-03-01T00:00:00Z,0,5006199,50645,0.165,0,14.175,21.178947368421053,9.261744966442953,98.84883009181559,13.02,14.88,0,13.89
Alabama,2020-03-08T00:00:00Z,30,5006199,50645,0.165,0.5992570411204189,10.945409429280398,37.92134831460674,9.886666666666667,98.84883009181559,16.36857142857143,18.71,0,18.784285714285716
Alabama,2020-03-15T00:00:00Z,528,5006199,50645,0.165,10.546923923719373,-12.274939172749392,18.020833333333332,-2.0193548387096776,98.84883009181559,37.16571428571429,40.94428571428571,10.714285714285714,46.23
Alabama,2020-03-22T00:00:00Z,3233,5006199,50645,0.165,64.57993379807715,-27.980861244019138,14.054945054945055,-18.635220125786162,98.84883009181559,52.19285714285714,55.825714285714284,26.785714285714285,66.46714285714286
Alabama,2020-03-29T00:00:00Z,8823,5006199,50645,0.165,176.24149579351518,-28.966587112171837,10.076923076923077,-25.432098765432098,98.84883009181559,61.60857142857143,61.48142857142857,62.5,74.86714285714285
Alabama,2020-04-05T00:00:00Z,18318,5006199,50645,0.165,365.9063493081278,-37.3962962962963,3.9591836734693877,-32.325301204819276,98.84883009181559,65.62,66.07,62.5,79.63
